Fight_Id,Win/No Contest/Draw,Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id
b4ec3e067604f90a,win,13a0275fa13c4d26,d2c55d1d2e67773b,Jared Cannonier,David Branch,1,0,26,10,0,3,0,0,Middleweight,KO/TKO Punches,2,0:39,20821819c401ced8
7aede55e4e47c698,win,37d5b176d438d2a5,045f25b3a4c08e81,Karl Roberson,Jack Marshman,0,0,34,21,2,0,0,0,Middleweight,U-DEC,3,5:00,20821819c401ced8
e4e1d12441b90866,win,1338e2c7480bdf9e,b1a3e0aca758b322,Israel Adesanya,Derek Brunson,3,0,13,3,0,0,0,0,Middleweight,KO/TKO Punches,1,4:51,20821819c401ced8
78bb2b441917848c,win,c07efc18b231f170,bb1a2cdad6ff34db,Jordan Rinaldi,Jason Knight,0,0,20,12,3,0,2,0,Featherweight,U-DEC,3,5:00,20821819c401ced8
752f19e9c201ea57,win,4234f0097c83fa62,4498b382c65a7faa,Sijara Eubanks,Roxanne Modafferi,1,0,57,28,3,1,0,0,Women's Flyweight,U-DEC,3,5:00,20821819c401ced8
41be95916aef568f,win,0d62719b1dcf7c40,1291edf2d566a71a,Sheymon Moraes,Julio Arce,2,0,32,25,0,1,0,2,Featherweight,S-DEC,3,5:00,20821819c401ced8
b8b2cdf962cc65a0,win,4e0692ad070976e4,484acc7b0f856ce9,Lyman Good,Ben Saunders,1,0,14,12,0,0,0,0,Welterweight,KO/TKO Punches,1,1:32,20821819c401ced8
df9aa51f6ccdfe02,drawdraw,dccb63727f2f5f74,f9b200db02b488d9,Matt Frevola,Lando Vannata,0,2,66,67,2,1,1,1,Lightweight,M-DEC,3,5:00,20821819c401ced8
3729ff914eaede07,win,98d961097baaf308,a7151778b3381036,Shane Burgos,Kurt Holobaugh,0,1,17,21,0,0,1,0,Featherweight,SUB Armbar,1,2:11,20821819c401ced8
33116969380185a9,win,ab943cd2c3c17825,efa1f6b42c86793c,Marcos Rogerio de Lima,Adam Wieczorek,0,0,28,7,3,1,0,0,Heavyweight,U-DEC,3,5:00,20821819c401ced8
96b59d89ecac66d0,win,d4c9dcd330403612,0845c81e37d3bcb3,Anthony Smith,Volkan Oezdemir,0,0,63,77,1,1,2,0,Light Heavyweight,SUB Rear Naked Choke,3,4:26,33a331684283900f
e202f273220aa533,win,511e82663651438d,02f2a9702ba3d167,Michael Johnson,Artem Lobov,0,0,99,67,1,0,0,0,Featherweight,U-DEC,3,5:00,33a331684283900f
a9a770bac1261af9,win,67f272324a030d00,e51e5cb722bd47a8,Misha Cirkunov,Patrick Cummins,0,0,11,3,1,0,2,0,Light Heavyweight,SUB Arm Triangle,1,2:40,33a331684283900f
e1eeb61d0669ce45,win,d0e50a3d1b250708,f2477cf43c4975cc,Andre Soukhamthath,Jonathan Martinez,2,0,79,71,3,1,1,0,Bantamweight,U-DEC,3,5:00,33a331684283900f
53d6e37063f9c404,win,fcd448a2fe1a23cc,06f36cf4bd97ec77,Gian Villante,Ed Herman,0,0,81,84,0,0,0,0,Light Heavyweight,S-DEC,3,5:00,33a331684283900f
8a08b8043f83d245,win,523fa774700d7d3f,a2b12c3f3d60ff69,Court McGee,Alex Garcia,1,0,51,27,2,1,0,0,Welterweight,U-DEC,3,5:00,33a331684283900f
6fd7f6f1deaef4e8,win,0d8011111be000b2,49858bf46dabf6fb,Sean Strickland,Nordine Taleb,1,0,65,48,0,0,0,0,Welterweight,KO/TKO Punch,2,3:10,33a331684283900f
