Fight_Id,Win/No Contest/Draw,Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id_x,Result_1,Result_2,Time Format,Referee,Method Details,Kd_1,Kd_2,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Total Str._1,Total Str._2,Td_1,Td_2,Td %_1,Td %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_1,Head_2,Body_1,Body_2,Leg_1,Leg_2,Distance_1,Distance_2,Clinch_1,Clinch_2,Ground_1,Ground_2,Event_Id_y
25783a9abbfee4fc,win,ffc3e6daaa6da0b7,b72a60a0cadff408,Louis Gaudinot,Johnny Bedford,0,1,6,82,0,4,0,0,Bantamweight,KO/TKO Knees,3,1:58,1f5f75658551f2d3,L,W,3 Rnd (5-5-5),Steve Mazzagatti,Knees to Body On Ground,0,1,6 of 29,82 of 140,20%,58%,18 of 41,155 of 229,0 of 2,4 of 6,0%,66%,0,0,0,0,0:00,9:21,3 of 23,50 of 102,0 of 0,29 of 35,3 of 6,3 of 3,2 of 20,10 of 34,4 of 9,19 of 23,0 of 0,53 of 83,1f5f75658551f2d3
9821faf6a5d6fd0d,win,81801f57bd0a7c41,1cecc8fe6748a532,Marcus Brimage,Stephen Bass,0,0,88,73,1,0,0,0,Featherweight,U-DEC,3,5:00,1f5f75658551f2d3,W,L,3 Rnd (5-5-5),Josh Rosenthal,Adalaide Byrd27 - 30.Tony Weeks27 - 30.Junichiro Kamijo28 - 29.,0,0,88 of 197,73 of 140,44%,52%,99 of 211,78 of 145,1 of 1,0 of 6,100%,0%,0,0,0,0,0:41,0:24,61 of 159,39 of 101,13 of 21,24 of 26,14 of 17,10 of 13,79 of 181,59 of 126,9 of 16,13 of 13,0 of 0,1 of 1,1f5f75658551f2d3
72481ce1897251cd,win,7bd94b60d7521e4a,55f80a8aeffcdb33,Dustin Pague,John Albert,0,1,3,21,0,0,0,0,Bantamweight,KO/TKO Punches,1,1:09,1f5f75658551f2d3,L,W,3 Rnd (5-5-5),Herb Dean,Punches to Head From Half Guard,0,1,3 of 10,21 of 34,30%,61%,3 of 10,36 of 49,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:47,1 of 7,19 of 29,1 of 2,1 of 4,1 of 1,1 of 1,3 of 10,7 of 17,0 of 0,0 of 0,0 of 0,14 of 17,1f5f75658551f2d3
c302f24082239f82,win,173acb3f920082b8,b0f316c60f8d3b47,Roland Delorme,Josh Ferguson,1,0,36,34,2,0,2,0,Bantamweight,SUB Rear Naked Choke,3,0:22,1f5f75658551f2d3,W,L,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,1,0,36 of 53,34 of 58,67%,58%,86 of 104,50 of 80,2 of 5,0 of 1,40%,0%,2,0,1,1,1:29,5:00,16 of 32,25 of 48,15 of 16,7 of 8,5 of 5,2 of 2,21 of 37,27 of 51,8 of 8,2 of 2,7 of 8,5 of 5,1f5f75658551f2d3
21ebc940f3dfde82,win,d188a3b817860ec6,48e96d9cea6d4ab0,Steven Siler,Josh Clopton,0,0,72,43,0,4,2,0,Featherweight,U-DEC,3,5:00,1f5f75658551f2d3,W,L,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd28 - 29.Tony Weeks28 - 29.Jeff Collins28 - 29.,0,0,72 of 133,43 of 62,54%,69%,133 of 196,84 of 105,0 of 1,4 of 6,0%,66%,2,0,0,0,0:23,7:45,36 of 92,18 of 36,30 of 33,13 of 13,6 of 8,12 of 13,22 of 72,17 of 33,50 of 61,20 of 22,0 of 0,6 of 7,1f5f75658551f2d3
b28aad0fdc0b8cc0,win,5ef0088c1b19beeb,e503aa5c252a1b4d,Bryan Caraway,Dustin Neace,0,0,23,18,3,0,1,1,Featherweight,SUB Rear Naked Choke,2,3:38,1f5f75658551f2d3,W,L,3 Rnd (5-5-5),Josh Rosenthal,Rear Naked Choke,0,0,23 of 53,18 of 55,43%,32%,32 of 65,35 of 72,3 of 3,0 of 1,100%,0%,1,1,0,0,3:04,0:55,13 of 41,10 of 47,2 of 4,4 of 4,8 of 8,4 of 4,22 of 52,15 of 51,0 of 0,0 of 1,1 of 1,3 of 3,1f5f75658551f2d3
206db35805bb83dc,win,1ccf4e7caff270df,140745cbbcb023ac,Mauricio Rua,Dan Henderson,0,1,96,77,5,1,1,1,Light Heavyweight,U-DEC,5,5:00,0ec821423baa26bd,L,W,5 Rnd (5-5-5-5-5),Josh Rosenthal,Steve Morrow47 - 48.Susan Thomas-Gitlin47 - 48.Ralph McKnight47 - 48.,0,1,96 of 194,77 of 141,49%,54%,191 of 293,113 of 179,5 of 10,1 of 4,50%,25%,1,1,0,2,9:07,4:26,80 of 172,55 of 119,8 of 10,16 of 16,8 of 12,6 of 6,43 of 103,33 of 79,19 of 34,27 of 40,34 of 57,17 of 22,0ec821423baa26bd
30c574f33700010a,win,a1f6999fe57236e0,d4f364dd076bb0e2,Wanderlei Silva,Cung Le,1,0,43,32,0,0,0,0,Middleweight,KO/TKO Knee,2,4:49,0ec821423baa26bd,W,L,3 Rnd (5-5-5),Dan Stell,Knee to Head In Clinch,1,0,43 of 104,32 of 81,41%,39%,51 of 112,32 of 81,0 of 0,0 of 1,---,0%,0,0,0,0,0:13,0:00,31 of 88,13 of 54,8 of 10,12 of 19,4 of 6,7 of 8,30 of 83,32 of 79,13 of 20,0 of 2,0 of 1,0 of 0,0ec821423baa26bd
73fd4982ef7aae44,win,78114b7199cef90c,b26d3e3746fb4024,Urijah Faber,Brian Bowles,1,0,36,13,1,0,1,0,Bantamweight,SUB Guillotine Choke,2,1:27,0ec821423baa26bd,W,L,3 Rnd (5-5-5),Jason McCoy,Guillotine Choke From Mount,1,0,36 of 61,13 of 68,59%,19%,44 of 69,14 of 69,1 of 1,0 of 0,100%,---,1,0,1,0,2:21,0:00,31 of 54,7 of 61,3 of 5,5 of 6,2 of 2,1 of 1,17 of 36,12 of 66,1 of 1,1 of 2,18 of 24,0 of 0,0ec821423baa26bd
89820fae001dd151,win,8b69839f3555a67b,5b5307450405abf0,Rick Story,Martin Kampmann,0,0,61,38,1,3,0,1,Welterweight,S-DEC,3,5:00,0ec821423baa26bd,L,W,3 Rnd (5-5-5),Josh Rosenthal,Steve English27 - 30.Steve Morrow28 - 29.Susan Thomas-Gitlin29 - 28.,0,0,61 of 170,38 of 147,35%,25%,73 of 183,55 of 165,1 of 3,3 of 9,33%,33%,0,1,0,0,0:36,4:55,39 of 137,34 of 139,22 of 33,4 of 7,0 of 0,0 of 1,47 of 145,29 of 127,14 of 25,5 of 16,0 of 0,4 of 4,0ec821423baa26bd
